Datum,Pris
aug -21,45774.22
sep -21,46228.33
okt -21,46233.78
nov -21,46154.83
dec -21,46632.86
jan -22,47481.85
feb -22,48243.05
mar -22,48430.65
apr -22,47790.52
maj -22,46501.81
jun -22,44803.93
jul -22,43774.77
aug -22,43265.10
sep -22,43401.01
okt -22,42863.83
nov -22,42297.46
dec -22,41895.99
jan -23,42167.10
feb -23,43026.49
mar -23,43582.71
apr -23,44042.65
maj -23,44118.50
jun -23,43866.12
jul -23,43612.26
aug -23,43630.71
sep -23,43804.89
okt -23,43502.22
nov -23,42985.88
dec -23,42685.61
jan -24,42859.07
feb -24,43665.81
mar -24,44327.32
apr -24,45052.91
maj -24,45184.24
jun -24,44655.76
jul -24,44395.88
aug -24,44935.53
sep -24,45867.18
okt -24,46036.88
nov -24,45580.90
dec -24,45222.95
jan -25,45018.33
feb -25,45511.14
mar -25,45557.85
apr -25,45573.44
maj -25,45286.49
jun -25,44607.08
jul -25,43933.93
